Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-62_S61	S008	Sebaceous_Ba	Corynebacterium	235093
LKMB002-1-62_S61	S008	Sebaceous_Ba	Micrococcus	574109
LKMB002-1-62_S61	S008	Sebaceous_Ba	Staphylococcus	129228
LKMB002-1-62_S61	S008	Sebaceous_Ba	Other	2987068
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Cutibacterium	136259
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Corynebacterium	28936
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Micrococcus	5477
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Staphylococcus	40672
LKMB002-1-30_S34	S004	Rarely_Moist_Vf	Other	243553
LKMB002-1-67_S66	S011	Sebaceous_Al	Cutibacterium	3367945
LKMB002-1-67_S66	S011	Sebaceous_Al	Corynebacterium	32690
LKMB002-1-67_S66	S011	Sebaceous_Al	Micrococcus	67798
LKMB002-1-67_S66	S011	Sebaceous_Al	Staphylococcus	698662
LKMB002-1-67_S66	S011	Sebaceous_Al	Other	998042
LKMB002-1-57_S56	S006	Moist_Tw	Cutibacterium	7315
LKMB002-1-57_S56	S006	Moist_Tw	Corynebacterium	1139193
